direction,speed,target_height,step_height,baring,step_amplitude,frequency
Straight,0.175,0.23,0.0075,1,0.0380766109815619,1.24891843728639
Straight,0.15,0.23,0.01,1,0.0344655160996815,1.14296397932823
Straight,0.125,0.23,0.01,1,0.0299912941411941,1.17823074629728
Straight,0.1,0.23,0.01,1,0.0248265321935404,1.18448955665322
Straight,0.075,0.23,0.01,1,0.0197727859164272,1.08529492094338
Straight,0.2,0.23,0.0075,-1,0.0380766109815619,1.24891843728639
Straight,0.15,0.23,0.01,-1,0.0344655160996815,1.14296397932823
Straight,0.125,0.23,0.01,-1,0.0299912941411941,1.17823074629728
Straight,0.1,0.23,0.01,-1,0.0248265321935404,1.18448955665322
Straight,0.075,0.23,0.01,-1,0.0197727859164272,1.08529492094338
Sideways,0.15,0.23,0.015,1,0.0196533570048345,1.37842905262901
Sideways,0.125,0.23,0.015,1,0.0190484083447504,1.12918638939947
Sideways,0.1,0.23,0.015,1,0.0180653444539191,1.0099087071685
Sideways,0.075,0.23,0.015,1,0.0177138050640942,0.812242669907651
Sideways,0.05,0.23,0.015,1,0.0166590619293037,0.716762449338297
Sideways,0.15,0.23,0.015,-1,0.0196533570048345,1.37842905262901
Sideways,0.125,0.23,0.015,-1,0.0190484083447504,1.12918638939947
Sideways,0.1,0.23,0.015,-1,0.0180653444539191,1.0099087071685
Sideways,0.075,0.23,0.015,-1,0.0177138050640942,0.812242669907651
Sideways,0.05,0.23,0.015,-1,0.0166590619293037,0.716762449338297
Spin,0.8,0.23,0.02,1,0.119751750470733,1.45799332226954
Spin,0.7,0.23,0.02,1,0.119829729975732,1.29902461359888
Spin,0.6,0.23,0.02,1,0.098240986641572,1.29982704068771
Spin,0.4,0.23,0.02,1,0.0839461832221573,1.05657433494582
Spin,0.2,0.23,0.02,1,0.0823087528780208,0.614143803422439
Spin,0.8,0.23,0.02,-1,0.119751750470733,1.45799332226954
Spin,0.7,0.23,0.02,-1,0.119829729975732,1.29902461359888
Spin,0.6,0.23,0.02,-1,0.098240986641572,1.29982704068771
Spin,0.4,0.23,0.02,-1,0.0839461832221573,1.05657433494582
Spin,0.2,0.23,0.02,-1,0.0823087528780208,0.614143803422439
Diagonal,0.125,0.23,0.01,45,0.047699879895431,1.2285559589397
Diagonal,0.1,0.23,0.01,45,0.0442829644974364,1.06749130398247
Diagonal,0.075,0.23,0.01,45,0.0405915399991293,0.88051134658116
Diagonal,0.125,0.23,0.01,135,0.047699879895431,1.2285559589397
Diagonal,0.1,0.23,0.01,135,0.0442829644974364,1.06749130398247
Diagonal,0.075,0.23,0.01,135,0.0405915399991293,0.88051134658116
Diagonal,0.125,0.23,0.01,225,0.047699879895431,1.2285559589397
Diagonal,0.1,0.23,0.01,225,0.0442829644974364,1.06749130398247
Diagonal,0.075,0.23,0.01,225,0.0405915399991293,0.88051134658116
Diagonal,0.125,0.23,0.01,315,0.047699879895431,1.2285559589397
Diagonal,0.1,0.23,0.01,315,0.0442829644974364,1.06749130398247
Diagonal,0.075,0.23,0.01,315,0.0405915399991293,0.88051134658116
